Raman Shift / 1/cm	#1 (3.123605853658537 s)	#2 (6.247211707317074 s)	#3 (9.370817560975611 s)	#4 (12.494423414634149 s)	#5 (15.618029268292686 s)	#6 (18.741635121951223 s)	#7 (21.86524097560976 s)	#8 (24.988846829268297 s)	#9 (28.112452682926836 s)	#10 (31.23605853658537 s)	#11 (34.35966439024391 s)	#12 (37.483270243902446 s)	#13 (40.606876097560985 s)	#14 (43.73048195121952 s)	#15 (46.854087804878056 s)	#16 (49.977693658536595 s)	#17 (53.10129951219513 s)	#18 (56.22490536585367 s)	#19 (59.348511219512204 s)	#20 (62.47211707317074 s)	#21 (65.59572292682928 s)	#22 (68.71932878048781 s)	#23 (71.84293463414636 s)	#24 (74.96654048780489 s)	#25 (78.09014634146342 s)	#26 (81.21375219512197 s)	#27 (84.3373580487805 s)	#28 (87.46096390243903 s)	#29 (90.58456975609758 s)	#30 (93.70817560975611 s)	#31 (96.83178146341466 s)	#32 (99.95538731707319 s)	#33 (103.07899317073172 s)	#34 (106.20259902439027 s)	#35 (109.3262048780488 s)	#36 (112.44981073170734 s)	#37 (115.57341658536588 s)	#38 (118.69702243902441 s)	#39 (121.82062829268295 s)	#40 (124.94423414634149 s)	#41 (128.06784000000002 s)	#42 (131.19144585365856 s)	#43 (134.3150517073171 s)	#44 (137.43865756097563 s)	#45 (140.56226341463417 s)	#46 (143.68586926829272 s)	#47 (146.80947512195124 s)	#48 (149.93308097560978 s)	#49 (153.05668682926833 s)	#50 (156.18029268292685 s)	#51 (159.3038985365854 s)	#52 (162.42750439024394 s)	#53 (165.55111024390246 s)	#54 (168.674716097561 s)	#55 (171.79832195121955 s)	#56 (174.92192780487807 s)	#57 (178.0455336585366 s)	#58 (181.16913951219516 s)	#59 (184.2927453658537 s)	#60 (187.41635121951222 s)
0.0	3.123605853658537	6.247211707317074	9.370817560975611	12.494423414634149	15.618029268292686	18.741635121951223	21.86524097560976	24.988846829268297	28.112452682926836	31.23605853658537	34.35966439024391	37.483270243902446	40.606876097560985	43.73048195121952	46.854087804878056	49.977693658536595	53.10129951219513	56.22490536585367	59.348511219512204	62.47211707317074	65.59572292682928	68.71932878048781	71.84293463414636	74.96654048780489	78.09014634146342	81.21375219512197	84.3373580487805	87.46096390243903	90.58456975609758	93.70817560975611	96.83178146341466	99.95538731707319	103.07899317073172	106.20259902439027	109.3262048780488	112.44981073170734	115.57341658536588	118.69702243902441	121.82062829268295	124.94423414634149	128.06784000000002	131.19144585365856	134.3150517073171	137.43865756097563	140.56226341463417	143.68586926829272	146.80947512195124	149.93308097560978	153.05668682926833	156.18029268292685	159.3038985365854	162.42750439024394	165.55111024390246	168.674716097561	171.79832195121955	174.92192780487807	178.0455336585366	181.16913951219516	184.2927453658537	187.41635121951222
200.671	0.05062540169080932	0.05073663914569635	0.05087259603500272	0.04971696247589855	0.04982202007218075	0.04945122855589064	0.05030404904335789	0.04994561724427746	0.050940574479655915	0.050359667770801406	0.0511506896722203	0.05050180451871261	0.05050180451871261	0.05050798437731745	0.05024225045730954	0.050137192861027344	0.050100113709398326	0.051206308399663815	0.049754041627527563	0.04934617095960844	0.05057596282197064	0.050100113709398326	0.05047708508429327	0.05016809215405152	0.049809660354971086	0.04956246601077768	0.05025461017451921	0.049939437385672615	0.049871458941019436	0.05008775399218866	0.049525386859148667	0.049988876254511296	0.05011865328521284	0.049766401344737234	0.04977258120334207	0.049754041627527563	0.05034730805359174	0.04999505611311613	0.05047090522568844	0.04935853067681812	0.050755178721510856	0.04957482572798735	0.050310228901962725	0.050050674840559646	0.04992089780985812	0.050149552578237014	0.04966134374845504	0.04923493350472141	0.049525386859148667	0.05062540169080932	0.04988999851683394	0.05094675433826074	0.04977258120334207	0.049828199930785584	0.050310228901962725	0.05050180451871261	0.04974786176892273	0.049877638799624265	0.050767538438720526	0.050483264942898114
201.939	0.051169229248034805	0.050421466356849756	0.051163049389429976	0.05068720027685767	0.05052034409452712	0.05088495575221239	0.04997651653730163	0.05060068225638998	0.050372027488011076	0.05085405645918822	0.050730459287091516	0.0506933801354625	0.049784940920551746	0.05128664656152667	0.05071809956988184	0.050681020418252835	0.05090967518663173	0.04998269639590647	0.050396746922430416	0.049985786325208885	0.05003831512334998	0.05045236564987393	0.04946976813170515	0.05037820734661592	0.05051416423592229	0.05042764621545459	0.05049562466010778	0.051070351510357444	0.048919760715874824	0.050174272012656354	0.05001977554753547	0.05024225045730954	0.05065012112522866	0.05085405645918822	0.049964156820091955	0.0494079695456568	0.050483264942898114	0.05035348791219657	0.050013595688930636	0.05069955999406734	0.05065012112522866	0.050137192861027344	0.05030404904335789	0.049877638799624265	0.050161912295446684	0.05044000593266426	0.050223710881495034	0.05060686211499481	0.05031640876056756	0.04977258120334207	0.05031640876056756	0.051416423592228214	0.05026696989172888	0.0500939338507935	0.050730459287091516	0.050100113709398326	0.05060068225638998	0.04995179710288229	0.05093439462105107	0.05058214268057547
203.206	0.05052034409452712	0.05020517130568053	0.04968606318287438	0.050483264942898114	0.05044000593266426	0.04971078261729372	0.05045854550847877	0.05057596282197064	0.05047090522568844	0.050755178721510856	0.050755178721510856	0.051095070944776784	0.0505883225391803	0.050409106639640086	0.05062540169080932	0.05086641617639789	0.05103945221733327	0.05061304197359964	0.05056360310476097	0.05069955999406734	0.05044000593266426	0.05047708508429327	0.049766401344737234	0.05015573243684184	0.049914717951253275	0.05006303455776932	0.04977258120334207	0.050124833143817674	0.05066866070104316	0.0506933801354625	0.04974168191031789	0.050112473426608004	0.049828199930785584	0.04949448756612449	0.04993325752706778	0.050285509467543385	0.04969224304147921	0.04959954516240669	0.050260790033124045	0.04979730063776141	0.05101473278291393	0.049803480496366244	0.05040292678103526	0.050310228901962725	0.0502175310228902	0.05014337271963218	0.05081697730755921	0.05014337271963218	0.050681020418252835	0.050100113709398326	0.05045236564987393	0.04966134374845504	0.050409106639640086	0.04979730063776141	0.050384387205220746	0.0506933801354625	0.05000123597172097	0.049791120779156574	0.050112473426608004	0.049129875908439216
204.474	0.050273149750333715	0.0505883225391803	0.05042764621545459	0.05076135858011569	0.05124956740989767	0.05066866070104316	0.050792257873139866	0.050594502397785145	0.04997651653730163	0.050443095861966686	0.0500939338507935	0.05083551688337371	0.050742819004301186	0.05089731546942206	0.05076135858011569	0.05032876847777723	0.05006303455776932	0.049129875908439216	0.05112597023780096	0.050779898155930196	0.04984055964799526	0.05011865328521284	0.050334948336382065	0.05027932960893855	0.049389429969842295	0.05065012112522866	0.0493214515251891	0.05049562466010778	0.05086641617639789	0.04969224304147921	0.05057596282197064	0.0493214515251891	0.050186631729866024	0.051076531368962286	0.050359667770801406	0.05071809956988184	0.049809660354971086	0.0506933801354625	0.050198991447075694	0.050100113709398326	0.049766401344737234	0.050137192861027344	0.04990853809264844	0.04972314233450339	0.05069955999406734	0.05010629356800317	0.04964280417264053	0.04969842290008405	0.05014337271963218	0.05108271122756712	0.05092821476244624	0.050174272012656354	0.04999505611311613	0.05026696989172888	0.05108271122756712	0.05076135858011569	0.04974168191031789	0.049877638799624265	0.050724279428486674	0.050681020418252835
205.742	0.0504647253670836	0.051465862461066894	0.050273149750333715	0.05099001334849459	0.05089731546942206	0.05131136599594601	0.05050180451871261	0.050724279428486674	0.051045632075938104	0.05055742324615613	0.05016809215405152	0.05097765363128492	0.0511321500964058	0.05066248084243832	0.04967061353636229	0.05055124338755129	0.05103327235872843	0.05071809956988184	0.050656300983833495	0.050198991447075694	0.05040292678103526	0.04972314233450339	0.0498838186582291	0.049964156820091955	0.0501310130024225	0.05008775399218866	0.05052034409452712	0.050013595688930636	0.05110743066198646	0.04969842290008405	0.05062540169080932	0.05081079744895437	0.05010629356800317	0.05041528649824492	0.05006303455776932	0.0500939338507935	0.05006921441637416	0.05014337271963218	0.05048017501359569	0.04944504869728581	0.04961808473822119	0.04955628615217284	0.050248430315914375	0.049988876254511296	0.05030404904335789	0.0509034953280269	0.04984055964799526	0.04962426459682603	0.05041528649824492	0.050075394274978986	0.050681020418252835	0.050681020418252835	0.05011865328521284	0.05073663914569635	0.05036584762940624	0.05108271122756712	0.050223710881495034	0.050124833143817674	0.050149552578237014	0.05088495575221239
207.009	0.05050180451871261	0.05100855292430909	0.05066557077174075	0.050384387205220746	0.05138552429920404	0.0513793444405992	0.05132990557176052	0.050755178721510856	0.05045854550847877	0.05097765363128492	0.051057991793147774	0.051638898502002276	0.050372027488011076	0.05108271122756712	0.050724279428486674	0.05084169674197855	0.05062540169080932	0.04995797696148712	0.05124956740989767	0.04972932219310823	0.05053888367034163	0.05090967518663173	0.050174272012656354	0.05052034409452712	0.050483264942898114	0.05008157413358383	0.049778761061946904	0.050273149750333715	0.050186631729866024	0.0506933801354625	0.050421466356849756	0.051441143026647554	0.05049562466010778	0.04993325752706778	0.0496366243140357	0.050396746922430416	0.05092821476244624	0.049457408414495474	0.050297869184753055	0.05087259603500272	0.05003213526474515	0.049828199930785584	0.05018045187126119	0.050297869184753055	0.050724279428486674	0.05020517130568053	0.05032876847777723	0.04981584021357592	0.05010629356800317	0.05121866811687349	0.050310228901962725	0.051095070944776784	0.050409106639640086	0.05027932960893855	0.05127428684431701	0.05050798437731745	0.05058214268057547	0.051045632075938104	0.05053270381173679	0.05050180451871261
208.276	0.051237207692688	0.05115686953082514	0.05131136599594601	0.05174395609828447	0.0511506896722203	0.051737776239679636	0.05129900627873635	0.05209002818015524	0.05095911405547041	0.05147204231967173	0.050792257873139866	0.051465862461066894	0.051206308399663815	0.05097147377268008	0.050755178721510856	0.05060686211499481	0.05092821476244624	0.05106417165175261	0.05057596282197064	0.051947891432244035	0.0509220349038414	0.0505883225391803	0.05086641617639789	0.05131754585455085	0.050643941266623825	0.050384387205220746	0.05099001334849459	0.05095293419686558	0.05047090522568844	0.05024225045730954	0.050436916003361844	0.050223710881495034	0.05086023631779305	0.049914717951253275	0.05069955999406734	0.05073663914569635	0.0503225886191724	0.050359667770801406	0.05073663914569635	0.051713056805260296	0.050260790033124045	0.05106417165175261	0.050619221832204485	0.05112597023780096	0.051441143026647554	0.0516945172294458	0.05094675433826074	0.05130518613734118	0.050186631729866024	0.05066866070104316	0.051169229248034805	0.05106417165175261	0.05053888367034163	0.050730459287091516	0.05143496316804272	0.05099001334849459	0.05121248825826866	0.050545063528946464	0.051231027834083155	0.05108889108617195
209.542	0.052096208038760076	0.05224452464527612	0.051366984723389526	0.052207445493647114	0.052436100262026004	0.05063776140801898	0.051577099915953925	0.051490581895486234	0.0517315963810748	0.05159563949176843	0.05155856034013942	0.05091585504523657	0.05115686953082514	0.0514844020368814	0.05198497058387304	0.05190463242201018	0.05212710733178425	0.0511506896722203	0.051119790379196124	0.051651258219211946	0.05179339496712315	0.05170069708805063	0.05094675433826074	0.05138552429920404	0.051626538784792605	0.05089113561081723	0.05137316458199437	0.051144509813615464	0.05144732288525239	0.05118776882384932	0.051737776239679636	0.05045854550847877	0.05121248825826866	0.051206308399663815	0.050124833143817674	0.050421466356849756	0.051255747268502495	0.05110743066198646	0.051051811934542946	0.05089113561081723	0.050742819004301186	0.05142260345083304	0.05096529391407525	0.05052652395313195	0.05183047411875217	0.05051416423592229	0.051515301329905575	0.05147204231967173	0.0505883225391803	0.05141024373362338	0.05112597023780096	0.05154620062292975	0.05086023631779305	0.05138552429920404	0.051750135956889314	0.051280466702921836	0.05120012854105898	0.0516945172294458	0.05170069708805063	0.05120012854105898
210.81	0.0526462154545904	0.05178103524991349	0.05224452464527612	0.052046769169921396	0.0531220645671627	0.05195407129084887	0.0522939635141148	0.052361941958767984	0.05221362535225194	0.052083848321550406	0.05257205715133238	0.052868690364364465	0.05170069708805063	0.0524175606862115	0.05213946704899392	0.05186755327038118	0.05207766846294557	0.052040589311316554	0.051811934542937664	0.052022049735502056	0.052324862807138973	0.05139170415780887	0.05226924407969546	0.051898452563405355	0.051416423592228214	0.05175631581549415	0.05170069708805063	0.05124956740989767	0.05226924407969546	0.051342265288970186	0.051972610866663375	0.05178103524991349	0.051502941612695904	0.05221980521085678	0.05180575468433283	0.05189227270480052	0.05170687694665546	0.05215182676620359	0.05220126563504227	0.05164507836060712	0.0517315963810748	0.051947891432244035	0.05193553171503436	0.051051811934542946	0.051231027834083155	0.051947891432244035	0.05187991298759084	0.05176249567409898	0.051651258219211946	0.05255969743412271	0.05131754585455085	0.052022049735502056	0.05186755327038118	0.0526462154545904	0.05253497799970337	0.052337222524348644	0.05227542393830029	0.05212092747317942	0.05225070450388095	0.052337222524348644
