0.05009	0.88	0.527	0.521	0.413
0.10017	0.88	0.527	0.522	0.412
0.15026	0.878	0.527	0.52	0.413
0.20035	0.877	0.529	0.519	0.414
0.25044	0.877	0.527	0.517	0.415
0.30052	0.873	0.525	0.515	0.415
0.35061	0.869	0.527	0.515	0.415
0.4007	0.866	0.525	0.514	0.416
0.45079	0.863	0.524	0.512	0.417
0.50087	0.864	0.524	0.511	0.417
0.55096	0.866	0.524	0.51	0.418
0.60105	0.864	0.52	0.509	0.419
0.65114	0.865	0.524	0.511	0.419
0.70122	0.865	0.523	0.509	0.419
0.75131	0.865	0.523	0.508	0.419
0.8014	0.863	0.523	0.509	0.418
0.85148	0.866	0.525	0.509	0.419
0.90157	0.863	0.523	0.509	0.42
0.95166	0.859	0.522	0.509	0.42
1.00175	0.863	0.522	0.508	0.419
1.05183	0.867	0.525	0.509	0.419
1.10192	0.862	0.525	0.508	0.419
1.15201	0.861	0.525	0.508	0.419
1.2021	0.862	0.525	0.508	0.419
1.25218	0.859	0.524	0.509	0.42
1.30227	0.86	0.524	0.508	0.419
1.35236	0.861	0.524	0.508	0.42
1.40245	0.861	0.525	0.508	0.419
1.45253	0.863	0.522	0.508	0.419
1.50262	0.861	0.523	0.509	0.42
1.55271	0.862	0.522	0.506	0.42
1.60279	0.861	0.523	0.508	0.42
1.65288	0.861	0.523	0.508	0.42
1.70297	0.86	0.52	0.508	0.419
1.75306	0.867	0.521	0.507	0.418
1.80314	0.864	0.518	0.507	0.42
1.85323	0.865	0.521	0.507	0.419
1.90332	0.862	0.52	0.509	0.417
1.95341	0.864	0.52	0.508	0.419
2.00349	0.867	0.52	0.509	0.418
2.05358	0.865	0.52	0.509	0.418
2.10367	0.868	0.521	0.509	0.418
2.15376	0.864	0.52	0.51	0.417
2.20384	0.863	0.52	0.509	0.418
2.25393	0.869	0.52	0.51	0.418
2.30402	0.869	0.52	0.51	0.417
2.3541	0.865	0.521	0.509	0.418
2.40419	0.868	0.519	0.512	0.418
