Wavelength / nm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
0.0	0.0	30.0	60.0	90.0	120.0	150.0	180.0	210.0	240.0	270.0	300.0	330.0
176.03	-0.006866654943234858	0.024007515738660414	0.04844889196610414	0.05990842671704757	0.05531554690933901	0.03590091097838718	0.006866654943234808	-0.024007515738660435	-0.04844889196610413	-0.059908426717047554	-0.055315546909338965	-0.03590091097838713
176.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177.24	-0.04628552319277661	-0.058025732629650405	-0.05421799386818516	-0.03588258743450414	-0.007932470675408582	0.02214314519514628	0.04628552319277659	0.058025732629650426	0.05421799386818514	0.03588258743450419	0.007932470675408539	-0.02214314519514632
177.84	0.03379751463802191	0.02243065950127847	0.005053527265469938	-0.013677693520049921	-0.028743987372551984	-0.036108353021328386	-0.033797514638021955	-0.022430659501278507	-0.0050535272654699155	0.013677693520049916	0.02874398737255202	0.03610835302132836
178.44	-0.038419106069727656	-0.05099648245484105	-0.049909392549351846	-0.03544912121553596	-0.01149028647962422	0.015547361239305049	0.03841910606972767	0.050996482454841084	0.049909392549351866	0.03544912121553599	0.011490286479624225	-0.015547361239305137
179.05	-0.011887204117051155	0.07397503334374973	0.14001572036002743	0.16853930817817395	0.15190292447707854	0.09456427483442434	0.011887204117051074	-0.07397503334374964	-0.14001572036002746	-0.1685393081781739	-0.1519029244770785	-0.09456427483442414
179.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180.25	0.04390149804015395	0.06660280150047161	0.07145793808508764	0.057165977867011226	0.027556440044933708	-0.009436823633460396	-0.0439014980401539	-0.06660280150047158	-0.07145793808508759	-0.05716597786701119	-0.027556440044933777	0.009436823633460486
180.85	0.026316886383900433	-0.012490335926098307	-0.04795078281150555	-0.07056285616612974	-0.07426766919540599	-0.05807252024003144	-0.02631688638390043	0.012490335926098307	0.047950782811505575	0.07056285616612973	0.07426766919540599	0.05807252024003141
181.45	-0.028598859026570847	0.00433458458188391	0.03610657975209837	0.058203846036288136	0.0647054387786691	0.0538692614544042	0.02859885902657073	-0.004334584581883877	-0.036106579752098356	-0.058203846036288115	-0.06470543877866915	-0.05386926145440428
182.06	0.044678605131429586	0.0453981347338957	0.0339532707965352	0.01341065536884787	-0.010725334334894344	-0.031987479365047866	-0.044678605131429495	-0.04539813473389571	-0.033953270796535186	-0.013410655368847895	0.010725334334894305	0.03198747936504788
182.66	0.01743437874672549	0.025909906122815293	0.027442895077330495	0.021622582457902984	0.010008516330604985	-0.00428732366491232	-0.01743437874672552	-0.02590990612281529	-0.027442895077330495	-0.021622582457902984	-0.01000851633060497	0.0042873236649123014
183.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183.86	0.10194318895041295	0.09274405664013025	0.05869422925033837	0.008917330532551136	-0.0432489597000746	-0.08382672610757909	-0.10194318895041299	-0.09274405664013033	-0.05869422925033834	-0.008917330532551155	0.043248959700074585	0.08382672610757914
184.46	0.036637947389362206	0.03509410248015265	0.02414682115229106	0.006729418596894376	-0.012491126237071182	-0.02836468388325826	-0.036637947389362276	-0.03509410248015264	-0.02414682115229109	-0.006729418596894423	0.012491126237071153	0.02836468388325831
185.07	-0.019401429944311658	-0.009148981692764223	0.003554928814926472	0.015306299017507498	0.022956358759238096	0.024455280710271726	0.01940142994431162	0.009148981692764223	-0.003554928814926455	-0.015306299017507444	-0.022956358759238092	-0.024455280710271744
185.67	3.045233492809124e-05	0.0005482700092843388	0.0009191791774186431	0.0010437950272641184	0.0008887268424905513	0.0004955250179797784	-3.0452334928091293e-05	-0.0005482700092843371	-0.0009191791774186436	-0.0010437950272641178	-0.0008887268424905524	-0.0004955250179797795
186.27	-0.0014950817577733025	-0.00037973122719782486	0.0008373679790461868	0.0018300951115370928	0.0023324497368194886	0.002209826338734916	0.0014950817577733006	0.00037973122719782394	-0.0008373679790461878	-0.0018300951115370924	-0.00233244973681949	-0.0022098263387349184
186.87	0.0007954235521621894	0.00018580597575373794	-0.00047359816180680015	-0.0010061020543743414	-0.0012690217139689857	-0.0011919080301280788	-0.0007954235521621857	-0.0001858059757537352	0.00047359816180679907	0.00100610205437434	0.0012690217139689848	0.001191908030128082
187.47	0.002765119533532958	0.00454813792075231	0.005112486425040715	0.004306948320424381	0.002347366891507753	-0.00024118960032792908	-0.0027651195335329616	-0.004548137920752311	-0.005112486425040714	-0.004306948320424381	-0.0023473668915077535	0.00024118960032793076
188.07	-0.0019620357890498337	-0.0019255119261518902	-0.0013730486976250528	-0.0004526781794009774	0.0005889870914247814	0.0014728337467509128	0.001962035789049833	0.001925511926151889	0.001373048697625054	0.0004526781794009795	-0.0005889870914247808	-0.001472833746750913
188.68	0.003503085195596713	0.002952871826230566	0.0016114388356733248	-0.0001617778895547308	-0.0018916463599233868	-0.003114649715785296	-0.003503085195596713	-0.0029528718262305646	-0.0016114388356733257	0.0001617778895547285	0.0018916463599233863	0.0031146497157852975
189.28	-0.003143896118465843	-0.0050057930632117645	-0.005526391799192773	-0.0045661983155221	-0.0023824956807269263	0.0004395947476896641	0.003143896118465847	0.005005793063211766	0.005526391799192773	0.0045661983155221	0.0023824956807269263	-0.00043959474768966405
189.88	0.002378626346298664	0.002384555825205082	0.0017515454964408732	0.0006492099663989647	-0.0006270808498577869	-0.0017353458588061197	-0.002378626346298658	-0.0023845558252050814	-0.0017515454964408725	-0.0006492099663989646	0.0006270808498577833	0.0017353458588061225
190.48	0.0008462749254186258	0.002771592395793834	0.003954263921967844	0.0040773936235910455	0.0031079889965492146	0.0013058012277972122	-0.0008462749254186258	-0.0027715923957938337	-0.0039542639219678445	-0.004077393623591047	-0.0031079889965492146	-0.0013058012277972083
191.08	-0.003754468215654956	-0.009453870564012508	-0.012620115929394533	-0.012404811423108142	-0.008865647713739565	-0.0029509408590956397	0.0037544682156549717	0.009453870564012506	0.012620115929394535	0.012404811423108146	0.008865647713739563	0.002950940859095641
191.68	-0.004108573625466567	8.127130840887093e-05	0.0042493396608283334	0.007278800882763301	0.0083579132862949	0.0071975295743544315	0.0041085736254665665	-8.127130840886808e-05	-0.004249339660828333	-0.007278800882763299	-0.0083579132862949	-0.007197529574354427
192.29	-0.0032680474904893133	-0.00042039568367647573	0.0025399008070790033	0.004819632927722505	0.005807948297568315	0.005240028611398984	0.003268047490489312	0.0004203956836764766	-0.0025399008070790038	-0.004819632927722506	-0.005807948297568315	-0.005240028611398977
192.89	0.0044617648068847405	0.0046311260420644285	0.00355958079422621	0.0015342487471817464	-0.0009021840126585311	-0.003096877294882682	-0.004461764806884742	-0.0046311260420644285	-0.0035595807942262092	-0.0015342487471817472	0.0009021840126585304	0.0030968772948826834
193.49	0.0022042279475472633	0.002097504811032605	0.0014287569542813662	0.0003771748254500868	-0.0007754709932658955	-0.0017203299855825186	-0.002204227947547262	-0.0020975048110326035	-0.0014287569542813675	-0.00037717482545008863	0.000775470993265894	0.001720329985582521
194.09	-0.0017836709994815555	-0.0013767672208537325	-0.0006009597772325119	0.0003358743533817477	0.0011827112222490433	0.0017126415742354808	0.0017836709994815548	0.0013767672208537332	0.0006009597772325118	-0.000335874353381748	-0.0011827112222490429	-0.0017126415742354806
194.69	-0.0005229388833709726	-0.0021753773485332626	-0.0032449252099231067	-0.0034449979818146634	-0.002721986326552134	-0.0012696206332814006	0.0005229388833709733	0.0021753773485332613	0.0032449252099231067	0.0034449979818146643	0.0027219863265521326	0.0012696206332813993
