Raman Shift / 1/cm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
212.075	3.709983787198317e-05	4.579618731543545e-05	4.2221485351292415e-05	2.7333570484028128e-05	5.12164747930932e-06	-1.8462616831407302e-05	-3.709983787198313e-05	-4.579618731543544e-05	-4.222148535129246e-05	-2.7333570484028185e-05	-5.12164747930932e-06	1.846261683140737e-05
213.342	7.591543692717248e-06	-2.5932871237070964e-05	-5.2508594261465665e-05	-6.501468185780718e-05	-6.010013795418286e-05	-3.9081810620736206e-05	-7.591543692717194e-06	2.5932871237071008e-05	5.250859426146568e-05	6.501468185780715e-05	6.0100137954182844e-05	3.908181062073619e-05
214.607	3.628928921550079e-05	3.2963005747648587e-06	-3.0579929142989564e-05	-5.6262291542278936e-05	-6.68692183584903e-05	-5.9558592117043786e-05	-3.628928921550076e-05	-3.2963005747648774e-06	3.0579929142989544e-05	5.6262291542278896e-05	6.686921835849025e-05	5.95585921170438e-05
215.872	2.367843207471135e-05	1.2846719642836882e-05	-1.4272609427247731e-06	-1.531880811129482e-05	-2.5105693017436126e-05	-2.8165527754131702e-05	-2.3678432074711353e-05	-1.2846719642836928e-05	1.4272609427247301e-06	1.5318808111294788e-05	2.5105693017436214e-05	2.816552775413174e-05
217.138	6.689299343413267e-05	6.807982440978841e-05	5.1024721413988685e-05	2.0297585521287697e-05	-1.586827202014397e-05	-4.77822388885007e-05	-6.68929934341327e-05	-6.807982440978842e-05	-5.1024721413988726e-05	-2.029758552128779e-05	1.5868272020144007e-05	4.7782238888500714e-05
218.403	9.515485542756935e-05	5.469382628660317e-05	-4.223694388264412e-07	-5.5425391614214885e-05	-9.557722486639575e-05	-0.00011011921790081807	-9.515485542756929e-05	-5.469382628660317e-05	4.2236943882642036e-07	5.5425391614214844e-05	9.557722486639572e-05	0.00011011921790081806
219.668	4.300018722642047e-05	6.862440154583558e-05	7.586076288997498e-05	6.277029408053671e-05	3.2860575663554545e-05	-5.854107465298873e-06	-4.300018722642043e-05	-6.862440154583563e-05	-7.586076288997498e-05	-6.277029408053673e-05	-3.286057566355449e-05	5.854107465298942e-06
220.933	-1.0807661248982699e-05	-2.7709730744650146e-05	-3.718700026480468e-05	-3.670004309506893e-05	-2.6379339015821976e-05	-8.99031235041874e-06	1.0807661248982748e-05	2.7709730744650197e-05	3.718700026480467e-05	3.6700043095068866e-05	2.6379339015821983e-05	8.99031235041873e-06
222.198	0.000132711212185471	0.0002350607382913474	0.0002744259293997935	0.00024025891434340484	0.00014171471721432242	5.198176052057476e-06	-0.0001327112121854712	-0.00023506073829134732	-0.0002744259293997935	-0.0002402589143434048	-0.00014171471721432247	-5.198176052057418e-06
223.462	0.0001094687417123063	8.038259742522477e-05	2.97580010725383e-05	-2.8840227635899298e-05	-7.971074063976796e-05	-0.00010922282506112408	-0.00010946874171230625	-8.03825974252248e-05	-2.97580010725383e-05	2.884022763589925e-05	7.9710740639768e-05	0.00010922282506112412
224.725	-3.0052975376894777e-05	3.59810362834837e-05	9.237395832886772e-05	0.00012401535283836548	0.0001224269337057625	8.803431655488181e-05	3.0052975376894743e-05	-3.598103628348368e-05	-9.237395832886776e-05	-0.00012401535283836554	-0.00012242693370576247	-8.803431655488177e-05
225.99	0.00010364527379773431	0.00012699911215832176	0.00011632364097661722	7.447934413458029e-05	1.267836717888287e-05	-5.251976802374143e-05	-0.00010364527379773434	-0.00012699911215832173	-0.00011632364097661729	-7.447934413458039e-05	-1.2678367178882869e-05	5.2519768023741484e-05
227.253	-1.056586628213547e-05	9.534806375814001e-06	2.7080635365376947e-05	3.73702299782655e-05	3.764650164751241e-05	2.783542360245149e-05	1.0565866282135435e-05	-9.534806375813962e-06	-2.708063536537698e-05	-3.73702299782655e-05	-3.7646501647512435e-05	-2.783542360245144e-05
228.517	9.754155603193849e-05	-2.1607386832969335e-06	-0.00010128406521328822	-0.00017326840826323772	-0.00019882562124522662	-0.00017110766957994077	-9.754155603193844e-05	2.1607386832969483e-06	0.00010128406521328821	0.0001732684082632377	0.00019882562124522656	0.00017110766957994077
