0.05205	0.99358	0.21422	456.54361
0.10411	0.99016	0.21722	456.5404
0.15616	0.99547	0.21788	456.44904
0.20821	0.98623	0.21971	456.51741
0.26027	0.99462	0.2178	456.39525
0.31232	0.98881	0.21868	456.36258
0.36437	0.98533	0.21973	456.45376
0.41642	0.9842	0.22064	456.38423
0.46848	0.98599	0.22072	456.4454
0.52053	0.97956	0.22091	456.40782
0.57258	0.97917	0.22464	456.38215
0.62464	0.97996	0.22352	456.37737
0.67669	0.9809	0.22308	456.36572
0.72874	0.97551	0.22257	456.33983
0.7808	0.97817	0.22605	456.43566
0.83285	0.97297	0.22301	456.34253
0.8849	0.97387	0.22485	456.29815
0.93696	0.97316	0.22222	456.31763
0.98901	0.9729	0.22353	456.37211
1.04106	0.97157	0.22662	456.31274
1.09311	0.9699	0.22473	456.3208
1.14517	0.96737	0.22452	456.27403
1.19722	0.96901	0.22518	456.27327
1.24927	0.96774	0.22829	456.25752
1.30133	0.96248	0.22772	456.34126
1.35338	0.95905	0.22582	456.28897
1.40543	0.96364	0.22769	456.25612
1.45749	0.96227	0.22587	456.2818
1.50954	0.95829	0.22727	456.24386
1.56159	0.9593	0.22908	456.25836
1.61365	0.96145	0.2272	456.18724
1.6657	0.96089	0.22801	456.24044
1.71775	0.97103	0.22649	456.40412
1.7698	0.97989	0.22511	456.36227
1.82186	0.98544	0.22154	456.43902
1.87391	0.9924	0.2225	456.40431
1.92596	0.98643	0.22078	456.51585
1.97802	0.99063	0.21959	456.3899
2.03007	0.99412	0.21819	456.46807
2.08212	0.99371	0.21922	456.45463
2.13418	0.99361	0.22014	456.44155
2.18623	0.99408	0.21498	456.47238
2.23828	0.98872	0.21625	456.54328
2.29034	0.99294	0.21768	456.44988
2.34239	0.99493	0.21789	456.4581
2.39444	0.99436	0.21481	456.47372
2.44649	0.99733	0.21513	456.46504
2.49855	0.99748	0.21657	456.48775
2.5506	0.99945	0.21527	456.45586
2.60265	0.99834	0.21484	456.46028
2.65471	0.99304	0.21733	456.51561
2.70676	0.99691	0.21537	456.55193
2.75881	0.9983	0.21547	456.50915
2.81087	0.99612	0.21556	456.57258
2.86292	0.99948	0.21284	456.49137
2.91497	0.99671	0.21521	456.47533
2.96703	0.9912	0.2137	456.51616
3.01908	0.99288	0.21338	456.4916
3.07113	0.99774	0.21514	456.47578
3.12318	0.99388	0.21635	456.46318
