Wavelength / nm	#1 (3.0 s)	#2 (6.0 s)	#3 (9.0 s)	#4 (12.0 s)	#5 (15.0 s)	#6 (18.0 s)	#7 (21.0 s)	#8 (24.0 s)	#9 (27.0 s)	#10 (30.1 s)	#11 (33.1 s)	#12 (36.1 s)	#13 (39.1 s)	#14 (42.1 s)	#15 (45.1 s)	#16 (48.1 s)	#17 (51.1 s)	#18 (54.1 s)	#19 (57.1 s)	#20 (60.1 s)	#21 (63.1 s)	#22 (66.1 s)	#23 (69.1 s)	#24 (72.1 s)	#25 (75.1 s)	#26 (78.1 s)	#27 (81.1 s)	#28 (84.1 s)	#29 (87.2 s)	#30 (90.2 s)	#31 (93.2 s)	#32 (96.2 s)	#33 (99.2 s)	#34 (102.2 s)	#35 (105.2 s)	#36 (108.2 s)	#37 (111.2 s)	#38 (114.2 s)	#39 (117.2 s)	#40 (120.2 s)	#41 (123.2 s)	#42 (126.2 s)	#43 (129.2 s)	#44 (132.2 s)	#45 (135.2 s)	#46 (138.2 s)	#47 (141.2 s)	#48 (144.3 s)	#49 (147.3 s)	#50 (150.3 s)	#51 (153.3 s)	#52 (156.3 s)	#53 (159.3 s)	#54 (162.3 s)	#55 (165.3 s)	#56 (168.3 s)	#57 (171.3 s)	#58 (174.3 s)	#59 (177.3 s)	#60 (180.3 s)
0.0	3.00524	6.01048	9.01572	12.02096	15.0262	18.03144	21.03668	24.04192	27.04716	30.0524	33.05764	36.06288	39.06812	42.07336	45.0786	48.08384	51.08908	54.09432	57.09956	60.1048	63.11004	66.11528	69.12052	72.12576	75.131	78.13624	81.14148	84.14672	87.15196	90.1572	93.16244	96.16768	99.17292	102.17816	105.1834	108.18864	111.19388	114.19912	117.20436	120.2096	123.21484	126.22008	129.22532	132.23056	135.2358	138.24104	141.24628	144.25152	147.25676	150.262	153.26724	156.27248	159.27772	162.28296	165.2882	168.29344	171.29868	174.30392	177.30916	180.3144
176.03	-0.501909090909091	-0.5233636363636364	0.04827272727272731	-0.48745454545454536	-0.4852727272727273	-0.5464545454545454	-0.5593636363636364	-0.4863636363636364	-0.014909090909090933	-0.3308181818181819	-0.5830000000000001	-0.5696363636363637	-0.5130909090909092	0.0834545454545454	-0.038454545454545457	-0.4422727272727272	-0.4199090909090909	0.24163636363636368	0.5653636363636364	-0.5293636363636363	-0.483	-0.4289090909090909	-0.3389090909090909	-0.5513636363636363	-0.06272727272727274	-0.4230909090909092	-0.49754545454545446	-0.4801818181818182	0.16972727272727275	-0.491	-0.553	-0.527	-0.463	0.0310909090909091	-0.47236363636363643	0.014545454545454558	0.607	-0.38863636363636367	-0.4236363636363636	-0.37672727272727274	0.00736363636363637	-0.5747272727272728	-0.4365454545454545	0.020727272727272726	-0.6479090909090909	-0.6138181818181819	0.501	0.17345454545454544	-0.4342727272727273	-0.14054545454545456	-0.38445454545454544	-0.32327272727272727	0.5470909090909092	-0.4932727272727273	0.08981818181818178	-0.5836363636363635	-0.5522727272727274	-0.556	-0.5723636363636363	-0.5926363636363636
176.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177.24	-0.31563636363636366	-0.2964545454545454	-0.4072727272727273	-0.3337272727272727	-0.40963636363636363	0.14663636363636365	0.15563636363636363	0.5181818181818182	0.18918181818181817	-0.32363636363636367	0.07418181818181815	0.19145454545454535	0.13054545454545463	0.16390909090909092	-0.40263636363636357	-0.2661818181818182	0.02009090909090905	-0.4016363636363636	-0.4915454545454546	0.06527272727272733	-0.020545454545454533	1.5745454545454545	-0.41118181818181826	0.11354545454545457	-0.3462727272727273	-0.4864545454545455	-0.31300000000000006	0.07536363636363635	-0.3140909090909091	-0.3335454545454546	0.9464545454545454	0.13154545454545458	0.6558181818181819	-0.4026363636363637	0.1206363636363636	-0.5281818181818182	0.1547272727272728	-0.016909090909090915	0.126	0.16536363636363635	-0.38399999999999995	-0.2733636363636363	-0.4081818181818182	-0.4143636363636363	0.09881818181818183	0.11454545454545452	0.547	0.1949090909090909	-0.3549090909090909	0.6243636363636363	-0.2206363636363636	-0.25972727272727264	0.0899090909090909	0.03945454545454543	0.08999999999999998	0.143	-0.10072727272727273	-0.44463636363636366	-0.5344545454545455	1.5413636363636363
177.84	-0.5192727272727272	-0.15972727272727275	-0.6679090909090909	-0.5274545454545454	-0.4687272727272727	-0.5402727272727272	-0.6225454545454544	-0.7115454545454546	-0.5329090909090909	-0.5539090909090909	-0.6627272727272727	-0.3571818181818181	-0.5700909090909092	-0.5122727272727272	-0.5597272727272727	-0.4761818181818182	-0.6338181818181817	-0.669	-0.33581818181818185	-0.015545454545454519	-0.5459090909090909	-0.5451818181818181	-0.5634545454545455	-0.6431818181818182	-0.539	-0.6613636363636364	0.13581818181818184	-0.35027272727272735	-0.4571818181818181	-0.6438181818181818	-0.09754545454545455	-0.6684545454545454	-0.456	-0.5806363636363636	-0.4921818181818182	-0.5952727272727273	-0.6053636363636362	-0.5382727272727272	-0.494	-0.5430909090909091	0.38299999999999995	-0.4212727272727273	-0.01745454545454544	-0.032818181818181795	-0.6441818181818182	-0.0779090909090909	-0.5054545454545455	-0.42509090909090913	-0.4372727272727273	-0.644	-0.559909090909091	-0.5324545454545455	0.5711818181818181	-0.19163636363636363	-0.0248181818181818	-0.5957272727272728	-0.5155454545454545	-0.5162727272727273	0.02109090909090903	-0.4621818181818183
178.44	0.08572727272727278	-0.29663636363636364	-0.34327272727272723	-0.2215454545454546	-0.3237272727272727	-0.3634545454545455	0.16772727272727275	-0.33309090909090916	-0.31172727272727274	-0.32163636363636366	0.33254545454545453	-0.29563636363636364	-0.3653636363636364	-0.13463636363636364	-0.33436363636363636	0.10536363636363634	0.7137272727272728	-0.27154545454545453	0.7493636363636363	-0.39645454545454545	-0.323	-0.3338181818181818	-0.32563636363636367	0.18790909090909097	-0.4716363636363637	0.039090909090909065	-0.28263636363636363	-0.20218181818181816	-0.2775454545454546	-0.18063636363636362	-0.2525454545454546	0.04963636363636362	0.23845454545454547	-0.2565454545454545	0.13618181818181818	-0.3026363636363636	-0.3945454545454546	-0.4974545454545454	0.612	0.15100000000000002	-0.24154545454545454	-0.23845454545454547	0.5288181818181819	-0.33336363636363636	-0.24190909090909088	-0.20800000000000002	0.2717272727272727	0.10081818181818174	0.604909090909091	-0.27436363636363637	-0.3304545454545455	-0.3396363636363636	0.5531818181818182	-0.2891818181818182	-0.2867272727272727	-0.2847272727272727	-0.39372727272727276	1.124272727272727	0.2893636363636364	0.7706363636363638
179.05	-0.5246363636363636	-0.6149090909090908	0.34681818181818175	-0.6592727272727271	-0.10709090909090913	-0.07963636363636363	-0.603	-0.0647272727272727	1.0305454545454547	-0.03927272727272728	0.7214545454545455	-0.6578181818181819	0.07809090909090909	0.3867272727272727	0.528	0.5323636363636363	-0.6184545454545454	0.5305454545454545	0.9813636363636362	0.04981818181818176	0.05672727272727278	0.11954545454545452	-0.4918181818181818	0.013090909090909124	1.0413636363636363	-0.04599999999999996	-0.01654545454545459	-0.4736363636363637	-0.6697272727272726	-0.48681818181818187	-0.09927272727272726	0.39527272727272733	-0.35781818181818176	-0.563	0.6019090909090908	-0.03572727272727269	-0.5401818181818182	-0.7307272727272728	-0.6151818181818182	-0.5627272727272727	-0.6377272727272727	-0.43390909090909097	-0.09727272727272726	0.5747272727272729	0.6614545454545454	-0.07772727272727267	-0.4433636363636364	0.3997272727272728	1.4757272727272726	-0.08881818181818181	0.1378181818181818	-0.12063636363636357	-0.10336363636363634	-0.07345454545454548	0.5675454545454545	0.3934545454545454	-0.7127272727272727	-0.0665454545454545	-0.006090909090909086	-0.00918181818181818
179.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180.25	-0.013363636363636385	-0.6296363636363637	-0.0020909090909091333	0.035727272727272746	-0.5519090909090909	-0.03481818181818185	-0.3205454545454546	-0.4790909090909091	-0.005909090909090894	-0.41609090909090907	-0.06054545454545455	0.03554545454545454	-0.02845454545454544	-0.385	-0.47654545454545455	0.086	-0.5477272727272727	0.48581818181818187	-0.029727272727272724	0.13699999999999998	-0.5523636363636363	-0.05145454545454544	-0.4975454545454545	-0.5208181818181818	0.0552727272727273	0.026636363636363604	-0.594	-0.44190909090909086	-0.5251818181818182	-0.4637272727272727	-0.31936363636363635	0.037363636363636335	-0.02681818181818181	-0.22709090909090907	-0.4450909090909091	-0.5411818181818182	0.10054545454545458	0.0018181818181818602	0.012363636363636344	-0.06081818181818177	0.7072727272727272	-0.5352727272727272	-0.4299090909090909	-0.48772727272727273	-0.04981818181818181	0.5011818181818182	0.05609090909090907	0.08363636363636363	-0.35609090909090907	-0.36590909090909085	-0.23754545454545462	-0.022363636363636374	0.0591818181818182	-0.4954545454545455	0.07972727272727273	0.1129090909090909	-0.018545454545454462	-0.04145454545454546	0.5444545454545454	-0.37518181818181817
180.85	-0.5934545454545455	-0.286	-0.451	-0.6271818181818181	-0.09499999999999996	-0.3431818181818182	-0.5182727272727272	-0.5019999999999999	-0.5356363636363637	-0.5422727272727274	-0.6134545454545455	-0.12136363636363635	-0.559	-0.5184545454545456	0.5513636363636365	0.5853636363636364	0.12890909090909092	-0.6006363636363635	-0.1160909090909091	0.5058181818181818	-0.4836363636363636	-0.6418181818181818	-0.3859090909090908	-0.5780909090909091	-0.5553636363636364	-0.5065454545454545	-0.12999999999999998	-0.4892727272727273	-0.1078181818181819	-0.5163636363636365	-0.31727272727272726	-0.5901818181818183	-0.5885454545454545	-0.5469999999999999	-0.49445454545454537	-0.5491818181818182	-0.5810909090909091	0.016727272727272743	0.031181818181818147	-0.0516363636363636	0.04745454545454544	-0.5742727272727273	-0.07199999999999995	-0.5842727272727272	-0.417	-0.5392727272727272	-0.39454545454545453	-0.4932727272727273	-0.5339090909090909	-0.46036363636363636	-0.5154545454545455	-0.5983636363636363	-0.6036363636363636	-0.4578181818181818	-0.6104545454545455	0.14254545454545453	0.06518181818181817	-0.49218181818181816	-0.5131818181818182	-0.5584545454545454
