201.015	5517
202.282	5570.43
203.551	5595.85
204.817	5555.78
206.085	5561.7
207.352	5610.13
208.619	5597.05
209.885	5735.98
211.152	5637.9
212.418	5770.83
213.685	5760.75
214.95	5818.18
216.216	5809.1
217.481	5831.03
218.745	5833.96
220.011	5916.38
221.275	5987.81
222.54	5894.73
223.804	5901.66
225.069	5903.58
226.332	5813.51
227.595	5855.43
228.859	5697.36
230.122	5786.29
231.384	5806.21
232.648	5702.64
233.91	5693.06
235.173	5572.99
236.435	5569.91
237.696	5578.34
238.959	5495.76
240.22	5429.69
241.48	5411.11
242.741	5332.54
244.003	5354.46
245.263	5379.89
246.523	5216.32
247.784	5282.24
249.044	5214.17
250.303	5162.09
251.562	5089.02
252.823	5152.44
254.081	5041.87
255.34	4997.79
256.598	5005.22
257.858	4984.14
259.116	4956.07
260.373	4902.5
261.631	4833.42
262.888	4832.35
264.147	4796.27
265.404	4753.2
266.66	4755.62
267.917	4756.05
269.173	4700.97
270.429	4734.9
271.685	4721.82
272.942	4691.75
274.197	4643.68
275.453	4725.1
276.708	4660.53
277.963	4634.45
279.217	4697.88
280.472	4707.8
281.726	4629.23
282.98	4674.15
284.234	4630.08
285.488	4664
286.742	4651.43
287.996	4711.36
289.249	4679.78
290.502	4686.71
291.754	4682.13
293.007	4655.56
294.259	4647.48
295.511	4649.41
296.763	4680.83
298.014	4753.26
299.266	4724.68
300.517	4690.11
301.768	4674.04
303.017	4793.96
304.268	4710.39
305.518	4736.81
306.768	4772.74
308.018	4778.66
309.268	4746.59
310.518	4774.51
311.767	4742.44
313.016	4804.36
314.265	4823.79
315.514	4829.71
316.761	4832.14
318.01	4888.07
319.258	4873.99
320.506	4839.92
321.754	4885.84
323.001	4816.27
324.247	4763.19
325.494	4843.62
326.741	4770.54
327.988	4747.47
329.235	4825.39
330.48	4793.82
331.726	4779.75
332.972	4780.17
334.218	4785.1
335.463	4792.02
336.707	4764.45
337.952	4887.87
339.197	4906.8
340.441	4862.72
341.685	4907.15
342.929	4848.07
344.174	4922.5
345.416	4881.43
346.66	4922.85
347.904	4936.28
349.145	4962.7
350.389	4958.13
351.632	4935.05
352.873	4978.48
354.115	5029.4
355.358	5048.33
356.599	5056.25
357.841	5095.68
359.081	5085.1
360.322	5099.53
361.564	5192.46
362.803	5185.38
364.044	5248.31
365.284	5265.73
366.524	5301.66
367.765	5324.08
369.003	5311.01
370.243	5391.93
371.482	5454.86
372.721	5527.78
373.959	5587.71
375.198	5553.64
376.436	5612.56
377.675	5742.49
378.912	5757.41
380.15	5881.34
381.387	5832.26
382.625	5909.19
383.861	6040.11
385.099	6120.04
386.335	6136.46
387.571	6192.89
388.808	6311.82
390.043	6303.74
391.28	6363.67
392.515	6317.59
393.749	6463.52
394.985	6450.44
396.22	6500.87
397.455	6533.29
398.689	6529.72
399.923	6663.64
401.158	6622.07
402.391	6726
403.625	6715.92
404.859	6745.85
406.092	6808.27
407.324	6844.2
408.558	6847.62
409.79	6944.55
411.022	6940.47
412.256	6948.9
413.487	7114.82
414.719	7135.25
415.95	7176.18
417.182	7271.1
418.413	7316.53
419.644	7398.95
420.874	7503.38
422.106	7519.8
423.336	7735.73
424.566	7866.65
425.795	7983.08
427.025	8110
428.255	8310.43
429.484	8618.35
430.713	8792.78
431.942	9107.21
433.17	9319.13
434.399	9673.06
435.627	9955.48
436.856	10239.9
438.084	10794.8
439.311	11186.8
440.538	11988.7
441.765	12686.1
442.992	13368.5
444.219	14198
445.445	15198.4
446.672	16477.3
447.898	17839.2
449.124	19375.2
450.349	20908.1
451.576	22535
452.802	24091.4
454.027	25675.9
455.252	26814.8
456.476	27440.2
457.701	27367.1
458.925	26834.6
460.149	25776.5
461.373	24152.4
462.596	22345.3
463.819	20601.3
465.043	18819.7
466.266	17201.1
467.489	15581.5
468.711	14126
469.934	12960.4
471.156	12070.8
472.379	11193.7
473.601	10558.7
474.822	9879.6
476.044	9361.52
477.264	8859.95
478.485	8453.37
479.706	8104.8
480.927	7793.72
482.148	7574.65
483.368	7380.07
484.588	7009
485.807	6975.42
487.027	6837.85
488.246	6689.78
489.466	6591.7
490.685	6335.63
491.903	6295.55
493.122	6117.48
494.34	6104.4
495.559	5993.83
496.776	5954.25
497.994	5899.18
499.212	5816.1
500.43	5805.03
501.646	5742.96
502.863	5645.88
504.08	5626.81
505.296	5568.73
506.512	5456.66
507.729	5527.08
508.944	5427.51
510.16	5444.43
511.376	5428.36
512.59	5349.78
513.806	5393.21
515.021	5288.64
516.235	5205.06
517.45	5241.99
518.663	5257.91
519.878	5276.84
521.093	5241.76
522.305	5300.19
523.519	5246.61
524.732	5187.04
525.945	5229.46
527.158	5215.39
528.371	5253.32
529.582	5251.74
530.795	5263.67
532.007	5186.59
533.219	5299.02
534.43	5124.94
535.642	5262.87
536.853	5330.79
538.064	5275.22
539.274	5398.64
540.486	5355.57
541.696	5345
542.907	5359.42
544.116	5379.35
545.326	5433.77
546.535	5362.2
547.744	5427.62
548.954	5455.55
550.163	5510.97
551.372	5459.9
552.58	5343.82
553.788	5380.75
554.997	5499.67
556.205	5468.6
557.412	5432.53
558.62	5507.45
559.827	5552.38
561.034	5473.3
562.242	5469.23
563.448	5478.65
564.654	5546.08
565.861	5480
567.067	5456.93
568.273	5490.35
569.478	5468.78
570.685	5483.21
571.89	5440.13
573.094	5445.56
574.299	5360.48
575.505	5482.91
576.709	5417.33
577.913	5382.26
579.117	5421.68
580.322	5383.11
581.525	5432.03
582.728	5381.46
583.931	5297.89
585.134	5290.81
586.337	5340.74
587.541	5293.66
588.743	5229.59
589.945	5186.51
591.147	5164.44
592.349	5120.36
593.55	5042.29
594.752	5057.71
595.953	4982.14
597.154	5018.56
598.355	4965.49
599.557	4943.42
600.757	4867.84
601.957	4933.27
603.157	4812.69
604.357	4765.62
605.557	4751.54
606.756	4681.47
607.955	4756.89
609.154	4648.32
610.353	4654.74
611.552	4583.17
612.75	4576.1
613.949	4540.02
615.147	4493.95
616.345	4495.87
617.543	4415.8
618.739	4370.72
619.936	4411.65
621.133	4305.57
622.33	4295.5
623.527	4322.42
624.724	4161.35
625.92	4213.28
627.116	4222.2
628.312	4151.63
629.508	4192.05
630.702	4072.48
631.898	4088.9
633.093	4018.83
634.288	4039.75
635.483	3974.18
636.678	3889.6
637.871	3902.53
639.065	3890.46
640.26	3839.38
641.454	3766.81
642.646	3812.23
643.84	3748.66
