Raman Shift / 1/cm	#1 (3.1 s)	#2 (6.2 s)	#3 (9.4 s)	#4 (12.5 s)	#5 (15.6 s)	#6 (18.7 s)	#7 (21.9 s)	#8 (25.0 s)	#9 (28.1 s)	#10 (31.2 s)	#11 (34.4 s)	#12 (37.5 s)	#13 (40.6 s)	#14 (43.7 s)	#15 (46.8 s)	#16 (50.0 s)	#17 (53.1 s)	#18 (56.2 s)	#19 (59.3 s)	#20 (62.5 s)	#21 (65.6 s)	#22 (68.7 s)	#23 (71.8 s)	#24 (75.0 s)	#25 (78.1 s)	#26 (81.2 s)	#27 (84.3 s)	#28 (87.4 s)	#29 (90.6 s)	#30 (93.7 s)	#31 (96.8 s)	#32 (99.9 s)	#33 (103.1 s)	#34 (106.2 s)	#35 (109.3 s)	#36 (112.4 s)	#37 (115.6 s)	#38 (118.7 s)	#39 (121.8 s)	#40 (124.9 s)	#41 (128.1 s)	#42 (131.2 s)	#43 (134.3 s)	#44 (137.4 s)	#45 (140.5 s)	#46 (143.7 s)	#47 (146.8 s)	#48 (149.9 s)	#49 (153.0 s)	#50 (156.2 s)	#51 (159.3 s)	#52 (162.4 s)	#53 (165.5 s)	#54 (168.7 s)	#55 (171.8 s)	#56 (174.9 s)	#57 (178.0 s)	#58 (181.1 s)	#59 (184.3 s)	#60 (187.4 s)
0.0	3.1231843902439045	6.246368780487809	9.369553170731713	12.492737560975618	15.615921951219523	18.739106341463426	21.862290731707333	24.985475121951236	28.10865951219514	31.231843902439046	34.35502829268295	37.47821268292685	40.60139707317076	43.724581463414665	46.847765853658565	49.97095024390247	53.09413463414638	56.21731902439028	59.340503414634185	62.46368780487809	65.586872195122	68.7100565853659	71.8332409756098	74.9564253658537	78.07960975609761	81.20279414634152	84.32597853658542	87.44916292682933	90.57234731707322	93.69553170731713	96.81871609756104	99.94190048780494	103.06508487804885	106.18826926829276	109.31145365853666	112.43463804878056	115.55782243902446	118.68100682926837	121.80419121951228	124.92737560975618	128.05056000000008	131.173744390244	134.2969287804879	137.4201131707318	140.5432975609757	143.6664819512196	146.78966634146352	149.9128507317074	153.03603512195133	156.15921951219522	159.28240390243914	162.40558829268303	165.52877268292693	168.65195707317085	171.77514146341474	174.89832585365866	178.02151024390255	181.14469463414645	184.26787902439037	187.39106341463426
200.601	0.22226310729165427	0.22286847009389055	0.22259546333994087	0.22308212755350337	0.22458959962966038	0.22201384025543933	0.22226310729165427	0.22123042957019237	0.22568162664545918	0.22403171626289362	0.22361627120253538	0.22384179852101557	0.2222156278561848	0.22232245658599117	0.22184766223129607	0.22384179852101557	0.22240554559806283	0.22358066162593326	0.22524244186736617	0.22326017543651402	0.2196042589053616	0.2231889562833098	0.22038766959060857	0.22293968924709484	0.22180018279582653	0.22077937493323205	0.22136099801773357	0.22213253884411313	0.22385366837988296	0.2202452312842	0.22120668985245764	0.22331952473085093	0.2241504148515674	0.22456585991192562	0.2228447303761558	0.22189514166676555	0.2231770864244424	0.22133725829999878	0.22472016807720155	0.2215509157596116	0.22526618158510092	0.22191888138450033	0.2202452312842	0.2222987168682564	0.22212066898524577	0.223165216565575	0.22177644307809177	0.2229040796704927	0.22164587463055063	0.22213253884411313	0.22163400477168327	0.22061319690908873	0.222631072916543	0.22123042957019237	0.22104051182831433	0.2220850594086436	0.22207318954977623	0.21848849217182806	0.22213253884411313	0.2228447303761558
201.868	0.2243640723111802	0.22298716868256435	0.22437594217004758	0.2233313945897183	0.22505252412548812	0.22551544862131587	0.22324830557764666	0.22362814106140275	0.22489821596021223	0.22405545598062837	0.22286847009389055	0.2232839151542488	0.22594276354054146	0.22309399741237076	0.2222987168682564	0.2239248875330872	0.22422163400477166	0.22443529146438448	0.22445903118211924	0.2230583878357686	0.22639381817750184	0.22228684700938903	0.22272603178748204	0.22431659287571068	0.22361627120253538	0.224577729770793	0.22329578501311617	0.22358066162593326	0.22258359348107348	0.22168148420715275	0.22510000356095766	0.22164587463055063	0.22293968924709484	0.2247320379360689	0.22356879176706587	0.2234619630372595	0.22240554559806283	0.2260970717058174	0.22282099065842106	0.22400797654515886	0.222975298823697	0.223070257694636	0.22209692926751098	0.2205775873324866	0.2237705793678113	0.2252305720084988	0.22374683965007655	0.2222987168682564	0.22374683965007655	0.22374683965007655	0.2219782306788372	0.22362814106140275	0.22407919569836313	0.22334326444858568	0.22152717604187683	0.22261920305767563	0.22335513430745305	0.22358066162593326	0.2227379016463494	0.22321269600104454
203.136	0.22207318954977623	0.2229040796704927	0.22470829821833418	0.22399610668629147	0.2234382233195247	0.22353318219046373	0.2214322171709378	0.22584780466960244	0.22277351122295153	0.22188327180789819	0.22413854499270003	0.22397236696855674	0.22375870950894391	0.2254917089035811	0.22342635346065734	0.22458959962966038	0.2227972509406863	0.22352131233159636	0.22720096858048358	0.22391301767421984	0.22466081878286465	0.2227379016463494	0.22120668985245764	0.22271416192861465	0.22426911344024117	0.2237112300734744	0.22255985376333873	0.22219188813845	0.22280912079955367	0.22291594952936009	0.2230583878357686	0.22359253148480063	0.22314147684784025	0.22280912079955367	0.22505252412548812	0.22299903854143174	0.22386553823875033	0.2254442294681116	0.22410293541609788	0.2263700784597671	0.22259546333994087	0.21999596424798507	0.2224648948923997	0.22298716868256435	0.22431659287571068	0.2226904222108799	0.22312960698897288	0.2230109084002991	0.222975298823697	0.2225242441867366	0.2244115517466497	0.2226904222108799	0.2244234216055171	0.22136099801773357	0.22195449096110245	0.2238774080976177	0.22185953209016343	0.22140847745320305	0.2251712227141619	0.22123042957019237
204.403	0.2233313945897183	0.22417415456930215	0.22569349650432655	0.2251712227141619	0.22394862725082199	0.22613268128241953	0.22511187341982503	0.22581219509300032	0.22481512694814057	0.2248507365247427	0.22420976414590427	0.22435220245231283	0.2244115517466497	0.22469642835946677	0.22411480527496525	0.2224174154569302	0.2259308936816741	0.22496943511341647	0.22458959962966038	0.2231177371301055	0.2246845585005994	0.22397236696855674	0.2224174154569302	0.22347383289612685	0.22488634610134484	0.22432846273457807	0.22207318954977623	0.2259783731171436	0.22470829821833418	0.22128977886452927	0.2232245658599119	0.22422163400477166	0.22587154438733723	0.22410293541609788	0.22223936757391954	0.22260733319880827	0.22481512694814057	0.223070257694636	0.22400797654515886	0.2231770864244424	0.22429285315797592	0.2225717236222061	0.22416228471043478	0.2237112300734744	0.223070257694636	0.22191888138450033	0.22291594952936009	0.22489821596021223	0.2262632497299607	0.224043586121761	0.22202571011430675	0.22212066898524577	0.22406732583949576	0.2247913872304058	0.22320082614217715	0.22180018279582653	0.22413854499270003	0.22323643571877927	0.22348570275499424	0.22365188077913753
205.671	0.22546796918584636	0.22352131233159636	0.22361627120253538	0.2243640723111802	0.2246370790651299	0.22657186606051252	0.22477951737153842	0.22739088632236162	0.22800811898346526	0.2270229206974729	0.2260970717058174	0.22545609932697896	0.22278538108181892	0.22585967452846986	0.22660747563711464	0.2250050446900186	0.22233432644485857	0.22628698944769546	0.22754519448763752	0.22540861989150948	0.22334326444858568	0.2219782306788372	0.22444716132325185	0.22742649589896374	0.2208980735219058	0.22350944247272897	0.22601398269374576	0.22386553823875033	0.22372309993234177	0.2253967500326421	0.2266905646491863	0.22416228471043478	0.22553918833905062	0.22524244186736617	0.22608520184695002	0.22451838047645611	0.22502878440775337	0.22540861989150948	0.2241504148515674	0.22608520184695002	0.22538488017377473	0.22431659287571068	0.22629885930656282	0.2244234216055171	0.225990242976011	0.22648877704844086	0.22282099065842106	0.22282099065842106	0.22488634610134484	0.2257765855163982	0.22470829821833418	0.2222512374327869	0.22475577765380367	0.22312960698897288	0.22324830557764666	0.22583593481073508	0.22253611404560397	0.2271653590038814	0.2262513798710933	0.22460146948852774
206.939	0.225990242976011	0.22400797654515886	0.22431659287571068	0.2250050446900186	0.22578845537526557	0.22612081142355214	0.22525431172623356	0.22638194831863448	0.2262039004356238	0.22587154438733723	0.22655999620164516	0.22443529146438448	0.2281624271487412	0.22551544862131587	0.22680926323786008	0.22572910608092867	0.22628698944769546	0.2247913872304058	0.22634633874203236	0.2257647156575308	0.22562227735112228	0.22492195567794698	0.22469642835946677	0.22559853763338752	0.2267499139435232	0.22672617422578845	0.2253967500326421	0.22399610668629147	0.22464894892399728	0.2244115517466497	0.22607333198808266	0.22581219509300032	0.22575284579866342	0.22448277089985397	0.2254442294681116	0.22563414720998964	0.22733153702802472	0.2256697567865918	0.22623951001222595	0.22747397533443325	0.22698731112087076	0.22487447624247744	0.22631072916543019	0.22661934549598203	0.2248032570892732	0.2242572435813738	0.2231889562833098	0.22648877704844086	0.22540861989150948	0.22614455114128693	0.22374683965007655	0.225551058197918	0.2257647156575308	0.22704666041520766	0.2258240649518677	0.22276164136408416	0.22538488017377473	0.22481512694814057	0.2247439077949363	0.22631072916543019
208.205	0.22578845537526557	0.22494569539568174	0.22532553087943782	0.2255035787624485	0.22580032523413296	0.225990242976011	0.22557479791565277	0.22787755053592412	0.22680926323786008	0.2269160919676665	0.22670243450805366	0.22663121535484942	0.2258834142462046	0.22580032523413296	0.22758080406423964	0.22564601706885704	0.2254917089035811	0.2272247082982183	0.22559853763338752	0.2281980367253433	0.22748584519330062	0.22644129761297138	0.2271653590038814	0.2264769071895735	0.2258834142462046	0.2257765855163982	0.22812681757213904	0.225990242976011	0.22589528410507198	0.22642942775410396	0.22493382553681435	0.2246845585005994	0.22834047503175184	0.22866096122117108	0.22714161928614668	0.22705853027407502	0.22634633874203236	0.2266905646491863	0.22708226999180978	0.22628698944769546	0.2254917089035811	0.2247913872304058	0.22663121535484942	0.227497715052168	0.22734340688689209	0.22556292805678538	0.22705853027407502	0.22543235960924424	0.2277825916649851	0.22659560577824728	0.22721283843935094	0.22659560577824728	0.22650064690730826	0.2246370790651299	0.22443529146438448	0.22703479055634027	0.22628698944769546	0.22632259902429758	0.2253967500326421	0.22677365366125796
209.473	0.22709413985067714	0.225551058197918	0.2281624271487412	0.2295155910596223	0.2290289268460598	0.22572910608092867	0.22991916626111314	0.22901705698719238	0.2286253516445689	0.22856600235023206	0.22655999620164516	0.22629885930656282	0.2251830925730293	0.22569349650432655	0.22914762543473358	0.2275095849110354	0.22761641364084179	0.22783007110045458	0.2284829133381604	0.2266430852137168	0.22839982432608874	0.22791316011252624	0.22800811898346526	0.22872031051550795	0.22824551616081282	0.22680926323786008	0.22932567331774426	0.2276638930763113	0.22927819388227472	0.2260970717058174	0.22632259902429758	0.22683300295559486	0.22800811898346526	0.2276638930763113	0.2293968924709485	0.22849478319702776	0.22633446888316497	0.22587154438733723	0.2277232423706482	0.22801998884233265	0.22796063954799575	0.2257647156575308	0.2259783731171436	0.2269042221087991	0.22807933813666956	0.22589528410507198	0.22762828349970918	0.22818616686647594	0.22704666041520766	0.22809120799553692	0.2257647156575308	0.2279843792657305	0.2277232423706482	0.2288983583985186	0.2256697567865918	0.22704666041520766	0.2269517015442686	0.2268567426733296	0.22648877704844086	0.22498130497228386
210.738	0.22703479055634027	0.2299903854143174	0.22747397533443325	0.22843543390269086	0.22995477583771526	0.22787755053592412	0.22851852291476252	0.22907640628152928	0.22872031051550795	0.22806746827780217	0.23057200849881893	0.2276638930763113	0.229444371906418	0.22843543390269086	0.22949185134188752	0.2298716868256436	0.22958681021282654	0.22854226263249727	0.22851852291476252	0.22817429700760858	0.22714161928614668	0.2254917089035811	0.22800811898346526	0.2281624271487412	0.2269042221087991	0.22886274882191648	0.22830486545514972	0.2304770496278799	0.22906453642266192	0.22693983168540124	0.22645316747183875	0.2282692558785476	0.22807933813666956	0.23006160456752167	0.2279962491245979	0.22905266656379455	0.22940876232981589	0.23031087160373662	0.2274383657578311	0.22985981696677624	0.22934941303547898	0.22844730376155828	0.22823364630194545	0.22755706434650488	0.2286847009389058	0.22899331726945765	0.2265362564839104	0.22883900910418176	0.229444371906418	0.2306432276520232	0.23143850819613754	0.22736714660462684	0.22839982432608874	0.22790129025365888	0.22616829085902168	0.22721283843935094	0.22660747563711464	0.22982420739017412	0.2278894203947915	0.22906453642266192
