Wavelength / nm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
0.0	0.0	30.0	60.0	90.0	120.0	150.0	180.0	210.0	240.0	270.0	300.0	330.0
176.03	-0.1502958103006033	-0.1085609146678888	-0.03773720962032938	0.04319815026960126	0.11255860068027401	0.1517590649374901	0.15029581030060338	0.10856091466788888	0.03773720962032938	-0.04319815026960126	-0.11255860068027404	-0.15175906493749
176.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177.24	-0.05398535974368883	-0.02306861458938202	0.014029347214654564	0.047368156762188564	0.06801470695834337	0.07043677135157059	0.053985359743688836	0.023068614589382	-0.014029347214654517	-0.04736815676218853	-0.06801470695834333	-0.07043677135157059
177.84	0.044364768147541346	0.03527834759760558	0.01673912229858691	-0.006285337302343875	-0.027625645848954453	-0.04156368489994943	-0.044364768147541395	-0.03527834759760562	-0.01673912229858692	0.006285337302343886	0.027625645848954432	0.04156368489994943
178.44	0.025482136194610254	0.08973007631666328	0.12993491495288334	0.13532379805887176	0.10445277875827308	0.045593721742208486	-0.02548213619461036	-0.0897300763166633	-0.1299349149528833	-0.13532379805887176	-0.10445277875827311	-0.04559372174220839
179.05	-0.014227799288527602	-0.07816916313557584	-0.12116516284742984	-0.13169505502352957	-0.10693736355890228	-0.053525891887953765	0.014227799288527607	0.07816916313557577	0.12116516284742994	0.13169505502352966	0.10693736355890228	0.0535258918879536
179.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180.25	0.3053487347375944	0.22955071530134316	0.09224476707811036	-0.06977809198969899	-0.213103967659484	-0.29932880729104216	-0.3053487347375944	-0.22955071530134316	-0.09224476707811036	0.06977809198969882	0.21310396765948386	0.29932880729104216
180.85	0.058093865803121425	-0.027407191913808557	-0.10556451469062868	-0.15543591100671145	-0.16365838049375006	-0.12802871909290298	-0.058093865803121404	0.02740719191380854	0.10556451469062865	0.15543591100671142	0.16365838049375006	0.12802871909290284
181.45	-0.033988066647863135	-0.039327893820183195	-0.03412984360336825	-0.019786729355230268	-0.00014177695550515588	0.01954116446495295	0.03398806664786309	0.03932789382018323	0.03412984360336827	0.019786729355230306	0.00014177695550513124	-0.019541164464952954
182.06	-0.003732619712378364	0.005136143556582931	0.012628681307347529	0.016737374100338407	0.01636130101972597	0.011601230543755487	0.003732619712378273	-0.00513614355658302	-0.012628681307347532	-0.016737374100338414	-0.016361301019725993	-0.011601230543755399
182.66	-0.030356142382268823	-0.036042032485808555	-0.032070489091199625	-0.019505684043732638	-0.0017143467089308618	0.01653634844207588	0.030356142382268803	0.036042032485808506	0.032070489091199646	0.019505684043732666	0.0017143467089308863	-0.016536348442075965
183.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183.86	0.028117474884302673	0.18921376798932232	0.29961038476475316	0.3297266408984904	0.27149290988045033	0.1405128729091681	-0.02811747488430287	-0.18921376798932232	-0.29961038476475316	-0.32972664089849035	-0.2714929098804503	-0.14051287290916792
184.46	0.0641400959524706	0.09571210134507269	0.10163812647637677	0.08033029769812344	0.03749803052390616	-0.015381803646949153	-0.06414009595247061	-0.09571210134507264	-0.10163812647637682	-0.08033029769812351	-0.03749803052390616	0.015381803646949407
185.07	-0.1096484239347869	-0.10329017474319556	-0.06925540664309546	-0.01666370826148893	0.040393017291691376	0.0866264664817066	0.10964842393478685	0.10329017474319549	0.06925540664309544	0.016663708261488986	-0.04039301729169134	-0.08662646648170669
