Wavelength / nm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
0.0	0.0	30.0	60.0	90.0	120.0	150.0	180.0	210.0	240.0	270.0	300.0	330.0
176.03	0.052389208509235036	0.034549203263047716	0.00745176690338804	-0.02164236438021933	-0.04493744160584694	-0.05619156764326707	-0.05238920850923502	-0.03454920326304767	-0.007451766903388148	0.021642364380219287	0.04493744160584691	0.056191567643267125
176.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177.24	0.13360684512159746	0.18594670231474514	0.18846229078742638	0.1404795606398974	0.054855445665828825	-0.04546714167484781	-0.13360684512159757	-0.1859467023147452	-0.18846229078742635	-0.14047956063989736	-0.05485544566582885	0.045467141674847826
177.84	-0.032385311955057214	-0.010335060752800542	0.014484461631895627	0.0354228842195258	0.04686977358695289	0.04575794497232642	0.032385311955057214	0.010335060752800586	-0.014484461631895646	-0.03542288421952584	-0.0468697735869529	-0.04575794497232634
178.44	0.01827635892961257	0.03904380273902089	0.04934949113506842	0.04643202323458754	0.031073132205455826	0.00738822049556664	-0.018276358929612605	-0.039043802739020896	-0.04934949113506844	-0.04643202323458757	-0.031073132205455826	-0.0073882204955667
179.05	0.03687387533048248	-0.048907702823204495	-0.12158450150175233	-0.16168283119076501	-0.1584583768322347	-0.11277512836756054	-0.036873875330482336	0.04890770282320444	0.12158450150175239	0.16168283119076504	0.1584583768322348	0.1127751283675606
179.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180.25	0.27986749685972695	0.22933758121140363	0.11735684588337768	-0.02606956152536303	-0.16251065097634926	-0.2554071427367667	-0.27986749685972695	-0.22933758121140366	-0.11735684588337768	0.026069561525362953	0.1625106509763493	0.25540714273676657
180.85	0.038976717092414674	-0.01821557264832883	-0.07052701440828223	-0.1039407996129582	-0.1095037315006969	-0.08572522696462935	-0.03897671709241471	0.01821557264832876	0.07052701440828225	0.10394079961295827	0.10950373150069696	0.08572522696462931
181.45	0.31953335156450924	0.21979380445332258	0.06116068493750392	-0.11386039071585306	-0.25837266662700537	-0.3336541951691757	-0.31953335156450924	-0.21979380445332264	-0.06116068493750393	0.11386039071585297	0.2583726666270054	0.33365419516917566
182.06	0.010306937897863536	0.031200232255359252	0.04373344957636803	0.04454832440116182	0.03342651167850455	0.013348092145802543	-0.010306937897863497	-0.031200232255359294	-0.04373344957636808	-0.044548324401161805	-0.03342651167850444	-0.013348092145802473
182.66	0.00689146690061973	-0.029339306340283408	-0.05770863614081834	-0.07061498349111946	-0.06460010304143812	-0.041275677150836076	-0.0068914669006197105	0.029339306340283443	0.057708636140818316	0.07061498349111947	0.06460010304143807	0.04127567715083598
183.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183.86	-0.019418711365201517	-0.13187695338021313	-0.2089988722367198	-0.23011971205838203	-0.18958016087151836	-0.09824275867816895	0.019418711365201492	0.1318769533802131	0.20899887223671992	0.2301197120583821	0.1895801608715184	0.0982427586781688
184.46	-0.132150718819588	-0.143674747639943	-0.11670124385742987	-0.05845773602761087	0.015449474962158167	0.08521701161233218	0.13215071881958798	0.14367474763994298	0.11670124385742986	0.05845773602761095	-0.015449474962158186	-0.08521701161233214
185.07	0.17998928931518113	0.17103226366695382	0.11624728108949946	0.03031393342180002	-0.06374200822568163	-0.1407183302451538	-0.1799892893151811	-0.17103226366695376	-0.1162472810894995	-0.030313933421800106	0.06374200822568156	0.14071833024515398
185.67	-0.0008901822790394851	-0.00044092400297556487	0.00012647950360914924	0.0006599929293427077	0.0010166617826486344	0.0011009169323182712	0.000890182279039485	0.00044092400297556547	-0.00012647950360915295	-0.0006599929293427061	-0.001016661782648633	-0.0011009169323182755
186.27	-0.004362845087035543	-0.0029166314424386545	-0.0006889087582211133	0.0017234064714205047	0.003673936328814428	0.00464003791385916	0.004362845087035543	0.0029166314424386563	0.0006889087582211074	-0.0017234064714205062	-0.003673936328814428	-0.004640037913859164
186.87	-0.002655453088399301	-3.457549042995606e-05	0.002595566582278013	0.004530228685363376	0.005251019670677318	0.0045648041757933334	0.0026554530883993073	3.457549042995898e-05	-0.002595566582278018	-0.00453022868536338	-0.0052510196706773175	-0.004564804175793329
187.47	0.015323543659038324	0.010288496752925109	0.002496655450535376	-0.005964162663604062	-0.01282688820850294	-0.016252659416529168	-0.015323543659038328	-0.010288496752925109	-0.0024966554505353785	0.005964162663604056	0.012826888208502946	0.016252659416529168
188.07	0.003876292057603567	-0.0010833674890294858	-0.005752739591870949	-0.008880669766804046	-0.00962903164947451	-0.0077973022777745584	-0.0038762920576035616	0.0010833674890294827	0.005752739591870952	0.008880669766804043	0.009629031649474512	0.00779730227777456
188.68	-0.0004947042922999199	-0.0009144239029136948	-0.0010891243672020287	-0.0009719948368415194	-0.0005944200749021073	-5.757093392782506e-05	0.0004947042922999256	0.0009144239029136956	0.0010891243672020248	0.0009719948368415182	0.0005944200749021048	5.757093392782411e-05
189.28	0.0029161589609954003	0.002373719846789205	0.001195244416578116	-0.00030349578981288765	-0.0017209145444172834	-0.0026772156366020937	-0.0029161589609953986	-0.0023737198467892063	-0.0011952444165781156	0.00030349578981288673	0.0017209145444172862	0.0026772156366020954
189.88	0.009423353783291283	0.005867706543985896	0.0007398120747966812	-0.0045863144423850975	-0.008683541708494596	-0.010454020986370993	-0.009423353783291274	-0.005867706543985896	-0.0007398120747966831	0.004586314442385092	0.008683541708494596	0.010454020986371
190.48	0.0014982052480988467	-0.01839809963900039	-0.03336464858556212	-0.03939116688787428	-0.03486285383366095	-0.020993067248873894	-0.0014982052480988254	0.018398099639000402	0.033364648585562116	0.039391166887874286	0.03486285383366094	0.020993067248873887
191.08	0.007382304832355278	0.0023124334299931735	-0.003377052642486332	-0.008161660186614232	-0.010759357474841606	-0.010474093616607406	-0.007382304832355271	-0.0023124334299931748	0.00337705264248633	0.00816166018661423	0.010759357474841604	0.010474093616607406
191.68	0.00577855581836349	0.004642228242577926	0.0022620193581126607	-0.0007242957866224537	-0.003516536460250823	-0.005366524029200382	-0.0057785558183634875	-0.004642228242577922	-0.002262019358112662	0.0007242957866224522	0.0035165364602508195	0.005366524029200386
192.29	0.006405537161864784	0.001956776102121874	-0.003016301533953107	-0.007181163609876598	-0.009421838695817888	-0.009137939711998472	-0.006405537161864779	-0.0019567761021218794	0.003016301533953108	0.007181163609876594	0.009421838695817888	0.009137939711998474
192.89	0.007472114659548239	0.0033316917557343457	-0.0017014552634579923	-0.006278698718849077	-0.009173569923006226	-0.009610390474583423	-0.007472114659548234	-0.0033316917557343474	0.0017014552634579878	0.006278698718849071	0.009173569923006226	0.009610390474583425
193.49	0.0017561810550115503	-0.002139564978981431	-0.0054620163047024205	-0.007320924772532769	-0.007218197359713965	-0.00518135979355134	-0.0017561810550115434	0.002139564978981431	0.005462016304702416	0.007320924772532765	0.007218197359713963	0.005181359793551343
194.09	0.0006578748654145338	8.299369029921672e-06	-0.0006434999365839415	-0.0011228739538606614	-0.0013013748019984736	-0.0011311733228905846	-0.0006578748654145311	-8.299369029920642e-06	0.0006434999365839394	0.0011228739538606597	0.0013013748019984725	0.0011311733228905863
194.69	-0.0031051307356875124	0.0008208720861030877	0.004526922895333112	0.0070199883705606685	0.007632053631020622	0.006199116284457584	0.00310513073568751	-0.0008208720861030855	-0.004526922895333114	-0.007019988370560671	-0.007632053631020622	-0.006199116284457579
195.29	-0.006933910976047876	-0.008169771346593682	-0.0072165480824727835	-0.004329656587512936	-0.0002826371064249049	0.0038401147590807474	0.006933910976047879	0.008169771346593684	0.007216548082472776	0.004329656587512934	0.000282637106424906	-0.0038401147590807474
195.9	0.0017426082121996442	-0.0022139519337257517	-0.005577285446928006	-0.007446189828668046	-0.007319893659127645	-0.005232237894942294	-0.0017426082121996412	0.002213951933725753	0.005577285446928006	0.007446189828668045	0.0073198936591276475	0.005232237894942295
196.5	0.0036665029867044376	0.002351597959659768	0.00040658415840158686	-0.001647373539755586	-0.0032599188283028518	-0.003998971499415357	-0.003666502986704435	-0.002351597959659766	-0.0004065841584015897	0.001647373539755581	0.0032599188283028505	0.003998971499415356
197.1	-0.003136697112517567	-0.004316186376168953	-0.004339156985943646	-0.0031994539855028786	-0.0012024598734260753	0.0011167323906660753	0.0031366971125175724	0.004316186376168958	0.0043391569859436456	0.00319945398550288	0.0012024598734260725	-0.001116732390666074
197.7	0.0007931606332657788	-0.001641721408565922	-0.0036367055247754944	-0.0046572373325116725	-0.00442986615804127	-0.0030155159239457483	-0.0007931606332657767	0.0016417214085659223	0.003636705524775492	0.004657237332511668	0.004429866158041275	0.003015515923945752
198.3	0.00032935922704346545	0.0023473463368992625	0.0037363638914267496	0.00412422575861763	0.003407004664383284	0.0017768794217183706	-0.0003293592270434657	-0.0023473463368992656	-0.0037363638914267466	-0.004124225758617629	-0.0034070046643832827	-0.0017768794217183671
198.9	0.007977101645550655	0.006523507521952098	0.0033219448260281234	-0.0007697303033308285	-0.0046551568195225285	-0.007293237825282926	-0.007977101645550653	-0.006523507521952098	-0.003321944826028129	0.0007697303033308239	0.004655156819522526	0.007293237825282932
199.5	-0.0009425873317830788	0.001152586019197669	0.002938924877127005	0.003937781187614418	0.003881512208910086	0.002785195168416752	0.0009425873317830836	-0.0011525860191976649	-0.002938924877127009	-0.003937781187614426	-0.0038815122089100903	-0.002785195168416745
200.11	-0.0015797310225754797	-0.0032753472388652003	-0.004093336807569477	-0.003814520084336923	-0.002513605784993994	-0.0005391728454717222	0.001579731022575482	0.0032753472388652016	0.004093336807569475	0.0038145200843369216	0.0025136057849939916	0.0005391728454717245
