Raman Shift / 1/cm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
267.576	7.111407454846318e-05	6.133149959610353e-05	3.511519885637816e-05	-5.101910589719693e-07	-3.5998875692085044e-05	-6.184169065507547e-05	-7.111407454846324e-05	-6.133149959610353e-05	-3.511519885637816e-05	5.101910589719633e-07	3.5998875692084977e-05	6.184169065507551e-05
268.833	-2.3748356799949704e-05	-2.925653413847364e-07	2.3241618764137587e-05	4.054822989101722e-05	4.6989975564087237e-05	4.084079523240196e-05	2.3748356799949676e-05	2.9256534138473657e-07	-2.324161876413759e-05	-4.054822989101717e-05	-4.698997556408724e-05	-4.084079523240195e-05
270.089	4.499270991732623e-05	0.00010252605022659206	0.0001325876181744898	0.00012712244090616696	8.759490825716355e-05	2.4596390679574906e-05	-4.4992709917326285e-05	-0.00010252605022659206	-0.00013258761817448977	-0.00012712244090616698	-8.759490825716352e-05	-2.4596390679574845e-05
271.346	8.874379083705905e-05	6.457631995163164e-05	2.3105676284990712e-05	-2.455611468278842e-05	-6.563811455206835e-05	-8.913243463442003e-05	-8.874379083705903e-05	-6.457631995163166e-05	-2.3105676284990743e-05	2.4556114682788345e-05	6.563811455206835e-05	8.913243463442003e-05
272.602	5.589328112007427e-05	4.069116121204404e-05	1.458587751816195e-05	-1.542768027761086e-05	-4.130740360191233e-05	-5.61188414896549e-05	-5.5893281120074276e-05	-4.069116121204409e-05	-1.4585877518161944e-05	1.5427680277610847e-05	4.1307403601912344e-05	5.6118841489654915e-05
273.858	4.684546772391255e-06	4.65116599270999e-06	3.3715090414190063e-06	1.1884589652055972e-06	-1.3130377309722045e-06	-3.4627070275043934e-06	-4.684546772391204e-06	-4.651165992709998e-06	-3.3715090414189983e-06	-1.1884589652055777e-06	1.3130377309721923e-06	3.4627070275043963e-06
275.113	4.4350000978718206e-05	3.0088099794428367e-05	7.764116568434407e-06	-1.6640255422012598e-05	-3.6585884410283747e-05	-4.672835521644098e-05	-4.435000097871822e-05	-3.0088099794428384e-05	-7.764116568434398e-06	1.6640255422012588e-05	3.658588441028378e-05	4.6728355216440996e-05
276.368	-1.186178260274673e-05	-1.9128170249802307e-05	-2.1269180125738363e-05	-1.771113036331071e-05	-9.40739752299166e-06	1.417039886491605e-06	1.1861782602746709e-05	1.912817024980232e-05	2.126918012573836e-05	1.771113036331073e-05	9.407397522991646e-06	-1.4170398864916164e-06
277.623	7.051393694669291e-05	4.281053615666398e-05	3.636086775913557e-06	-3.651264912005236e-05	-6.68778501707793e-05	-7.932318527671637e-05	-7.051393694669287e-05	-4.281053615666401e-05	-3.636086775913549e-06	3.6512649120052325e-05	6.68778501707793e-05	7.932318527671633e-05
278.878	4.9277189989897e-05	3.9610277476201895e-05	1.932982310078582e-05	-6.130041764322231e-06	-2.9947366889111126e-05	-4.574031924052413e-05	-4.927718998989697e-05	-3.961027747620192e-05	-1.9329823100785847e-05	6.130041764322191e-06	2.994736688911112e-05	4.57403192405242e-05
280.132	0.00011197032853701465	0.00013684172195850612	0.00012504648649033158	7.974514595072352e-05	1.3076157953316957e-05	-5.7096576007782585e-05	-0.0001119703285370147	-0.00013684172195850617	-0.00012504648649033163	-7.974514595072353e-05	-1.3076157953316947e-05	5.709657600778268e-05
281.386	-1.0187442806011223e-05	1.3362959951151603e-05	3.333276838091388e-05	4.4371088441516595e-05	4.352021118692507e-05	3.1008128490365e-05	1.0187442806011172e-05	-1.3362959951151618e-05	-3.3332768380913826e-05	-4.437108844151656e-05	-4.352021118692511e-05	-3.100812849036505e-05
282.642	5.760681614940126e-05	-1.396726281073092e-05	-8.179882498025446e-05	-0.00012771245805450404	-0.00013940564112965574	-0.00011374519524377315	-5.76068161494012e-05	1.3967262810730933e-05	8.179882498025444e-05	0.000127712458054504	0.00013940564112965566	0.00011374519524377314
283.896	9.420253402319148e-05	9.698744158317501e-05	7.3784642494986e-05	3.0811308036446435e-05	-2.0417891528205536e-05	-6.617613354672854e-05	-9.420253402319156e-05	-9.698744158317501e-05	-7.378464249498599e-05	-3.081130803644646e-05	2.0417891528205533e-05	6.617613354672854e-05
285.15	3.603094672088191e-05	6.509772012519493e-05	7.672161199285472e-05	6.778800988501512e-05	4.06906652719728e-05	2.6902897598202245e-06	-3.603094672088192e-05	-6.509772012519493e-05	-7.672161199285471e-05	-6.778800988501514e-05	-4.06906652719728e-05	-2.690289759820159e-06
286.403	0.00010284064075436288	0.00014278836212996417	0.0001444760571842788	0.00010745150939043322	4.163541642991585e-05	-3.533685273953095e-05	-0.00010284064075436292	-0.00014278836212996417	-0.00014447605718427881	-0.00010745150939043329	-4.163541642991584e-05	3.533685273953099e-05
287.656	5.930551445208131e-05	6.932864864353695e-05	6.077522741861584e-05	3.5937133087058774e-05	1.4697129665345154e-06	-3.339151555647818e-05	-5.930551445208131e-05	-6.932864864353692e-05	-6.077522741861582e-05	-3.59371330870588e-05	-1.46971296653453e-06	3.339151555647823e-05
288.909	1.186787557261132e-05	1.6866017436603862e-05	1.7344923548929127e-05	1.3176271403539286e-05	5.47704797631782e-06	-3.6897460330645465e-06	-1.1867875572611332e-05	-1.6866017436603835e-05	-1.7344923548929134e-05	-1.3176271403539275e-05	-5.477047976317856e-06	3.6897460330645545e-06
290.162	-2.604248917469688e-05	1.634747142312718e-05	5.435714025483343e-05	7.780185725239178e-05	8.03996294295303e-05	6.145438582926461e-05	2.6042489174696846e-05	-1.6347471423127163e-05	-5.435714025483342e-05	-7.780185725239176e-05	-8.03996294295303e-05	-6.14543858292646e-05
291.415	-3.979890775076477e-05	-5.0442496334462505e-05	-4.757005876113115e-05	-3.195126235885366e-05	-7.771151010366386e-06	1.8491233975608822e-05	3.979890775076477e-05	5.04424963344625e-05	4.757005876113113e-05	3.1951262358853656e-05	7.771151010366396e-06	-1.8491233975608883e-05
292.667	2.5305154149322903e-05	3.48196710459883e-05	3.500428520516375e-05	2.580952941198687e-05	9.699131055840826e-06	-9.01014163400142e-06	-2.530515414932295e-05	-3.48196710459883e-05	-3.500428520516375e-05	-2.5809529411986895e-05	-9.699131055840811e-06	9.010141634001421e-06
293.92	7.936578400729667e-06	-3.439864991792124e-06	-1.3894599337691075e-05	-2.062628701190168e-05	-2.183117773842069e-05	-1.718642202010959e-05	-7.93657840072959e-06	3.4398649917921393e-06	1.389459933769108e-05	2.0626287011901704e-05	2.1831177738420652e-05	1.718642202010959e-05
295.172	6.324820227943175e-05	7.074366370883248e-05	5.928341757783265e-05	3.193822758229556e-05	-3.9647847015990725e-06	-3.880543612653692e-05	-6.324820227943175e-05	-7.074366370883246e-05	-5.928341757783267e-05	-3.19382275822956e-05	3.9647847015990615e-06	3.880543612653703e-05
296.424	-1.7701616041125537e-05	-2.837620690051914e-05	-3.144741603666022e-05	-2.609231544173264e-05	-1.3745799995534705e-05	2.2838914587864968e-06	1.770161604112554e-05	2.8376206900519162e-05	3.144741603666019e-05	2.6092315441732654e-05	1.3745799995534691e-05	-2.2838914587865315e-06
297.675	0.00010868388544659475	0.00012413932255712218	0.00010633172843952213	6.0032633556746715e-05	-2.3521570070725455e-06	-6.41066890003755e-05	-0.00010868388544659475	-0.00012413932255712218	-0.0001063317284395221	-6.003263355674672e-05	2.3521570070725176e-06	6.410668900037558e-05
298.927	2.0130813167495042e-05	1.9189104168224335e-05	1.3105690203601235e-05	3.5106171326706906e-06	-7.025122963893811e-06	-1.5678487035553615e-05	-2.013081316749507e-05	-1.9189104168224335e-05	-1.3105690203601221e-05	-3.5106171326707207e-06	7.025122963893764e-06	1.567848703555365e-05
300.178	5.5941777499979795e-05	3.4673501035171954e-05	4.114487969229993e-06	-2.7546998825334643e-05	-5.1827289530749816e-05	-6.22204998605066e-05	-5.5941777499979856e-05	-3.4673501035171934e-05	-4.114487969230048e-06	2.7546998825334596e-05	5.182728953074975e-05	6.222049986050657e-05
301.429	-2.0099977555942595e-06	2.5493341489647342e-05	4.616576047036713e-05	5.4468101215083374e-05	4.817575822596139e-05	2.8974759725436028e-05	2.00999775559426e-06	-2.5493341489647366e-05	-4.6165760470367114e-05	-5.4468101215083374e-05	-4.817575822596142e-05	-2.8974759725435998e-05
302.68	-6.678960881959988e-06	-9.262105405412983e-06	-9.36347626527359e-06	-6.955911221506175e-06	-2.684515383313576e-06	2.306194183906812e-06	6.678960881959999e-06	9.262105405412958e-06	9.363476265273598e-06	6.955911221506194e-06	2.6845153833135905e-06	-2.306194183906784e-06
303.931	4.599795772501508e-07	-2.7520204650116858e-05	-4.812637226594573e-05	-5.583711729847488e-05	-4.858635184319581e-05	-2.8316912648358008e-05	-4.5997957725005653e-07	2.7520204650116875e-05	4.812637226594574e-05	5.583711729847486e-05	4.858635184319581e-05	2.8316912648358055e-05
305.181	-6.259164310605168e-06	-1.4881055560003132e-05	-1.9515579989575523e-05	-1.8920920521116182e-05	-1.3256415678970287e-05	-4.039864961113041e-06	6.25916431060524e-06	1.4881055560003139e-05	1.9515579989575452e-05	1.8920920521116118e-05	1.3256415678970296e-05	4.0398649611131055e-06
